Load Factor	Time
0.1	2.44E-5
0.2	3.48E-5
0.3	7.680000000000001E-5
0.4	6.16E-5
0.5	1.03E-4
0.6	8.999999999999999E-5
0.7	1.246E-4
0.8	1.6E-4
0.9	2.3219999999999998E-4
1.0	0.0019439999999999998


Load Factor	Time
0.1	2.46E-5
0.2	5.6E-5
0.3	4.1400000000000003E-5
0.4	5.52E-5
0.5	7.2E-5
0.6	7.2E-5
0.7	9.939999999999999E-5
0.8	1.12E-4
0.9	1.368E-4
1.0	1.38E-4


Load Factor	Time
0.1	1.62E-5
0.2	2.88E-5
0.3	3.0600000000000005E-5
0.4	4.48E-5
0.5	6.8E-5
0.6	7.08E-5
0.7	1.008E-4
0.8	1.136E-4
0.9	1.5839999999999997E-4
1.0	1.5599999999999997E-4


Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502


Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0


Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0
