Load Factor	Time
0.1	6.24E-5
0.2	5.0E-5
0.3	8.400000000000001E-5
0.4	8.72E-5
0.5	1.09E-4
0.6	1.3079999999999998E-4
0.7	1.75E-4
0.8	1.744E-4
0.9	2.8079999999999994E-4
1.0	0.002596






Load Factor	Time
0.1	3.12E-5
0.2	4.36E-5
0.3	1.218E-4
0.4	1.872E-4
0.5	9.4E-5
0.6	1.1279999999999999E-4
0.7	1.316E-4
0.8	1.504E-4
0.9	1.98E-4
1.0	1.58E-4






Load Factor	Time
0.1	3.44E-5
0.2	8.76E-5
0.3	7.500000000000001E-5
0.4	6.24E-5
0.5	7.8E-5
0.6	2.2439999999999998E-4
0.7	1.316E-4
0.8	1.504E-4
0.9	1.602E-4
1.0	1.5599999999999997E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0
