Load Factor	Time
0.1	2.08E-5
0.2	4.96E-5
0.3	4.38E-5
0.4	5.6E-5
0.5	1.13E-4
0.6	9.839999999999999E-5
0.7	1.1899999999999999E-4
0.8	1.392E-4
0.9	2.0879999999999998E-4
1.0	0.0017879999999999999






Load Factor	Time
0.1	2.46E-5
0.2	3.96E-5
0.3	6.42E-5
0.4	4.48E-5
0.5	6.6E-5
0.6	6.72E-5
0.7	8.12E-5
0.8	8.48E-5
0.9	1.0619999999999999E-4
1.0	1.28E-4






Load Factor	Time
0.1	1.58E-5
0.2	2.84E-5
0.3	2.9400000000000003E-5
0.4	3.84E-5
0.5	6.6E-5
0.6	7.08E-5
0.7	8.4E-5
0.8	9.28E-5
0.9	1.224E-4
1.0	1.3599999999999997E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0
