Load Factor	Time
0.1	6.88E-5
0.2	1.252E-4
0.3	1.128E-4
0.4	1.496E-4
0.5	1.57E-4
0.6	1.5E-4
0.7	1.96E-4
0.8	2.512E-4
0.9	2.8079999999999994E-4
1.0	0.0029379999999999996






Load Factor	Time
0.1	3.42E-5
0.2	5.6E-5
0.3	5.580000000000001E-5
0.4	8.8E-5
0.5	9.3E-5
0.6	1.3079999999999998E-4
0.7	1.526E-4
0.8	2.736E-4
0.9	1.4039999999999997E-4
1.0	1.8599999999999997E-4






Load Factor	Time
0.1	2.5E-5
0.2	4.4E-5
0.3	4.6800000000000006E-5
0.4	6.24E-5
0.5	7.8E-5
0.6	1.1279999999999999E-4
0.7	3.5E-4
0.8	1.504E-4
0.9	3.3659999999999994E-4
1.0	1.88E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0
