Load Factor	Time
0.1	1.96E-5
0.2	6.44E-5
0.3	5.8800000000000006E-5
0.4	7.92E-5
0.5	1.33E-4
0.6	1.416E-4
0.7	1.4419999999999998E-4
0.8	1.648E-4
0.9	1.9079999999999998E-4
1.0	0.0017939999999999998






Load Factor	Time
0.1	2.6E-5
0.2	3.76E-5
0.3	6.780000000000001E-5
0.4	4.8E-5
0.5	6.6E-5
0.6	6.599999999999999E-5
0.7	9.099999999999999E-5
0.8	1.024E-4
0.9	1.0259999999999999E-4
1.0	1.0999999999999999E-4






Load Factor	Time
0.1	1.54E-5
0.2	2.96E-5
0.3	2.8800000000000002E-5
0.4	4.72E-5
0.5	5.1E-5
0.6	6.599999999999999E-5
0.7	9.24E-5
0.8	1.104E-4
0.9	1.224E-4
1.0	1.2199999999999998E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0
