Load Factor	Time
0.1	8.44E-5
0.2	1.064E-4
0.3	9.360000000000001E-5
0.4	2.12E-4
0.5	1.13E-4
0.6	1.872E-4
0.7	2.87E-4
0.8	4.992E-4
0.9	2.826E-4
1.0	0.006279999999999999




Load Factor	Time
0.1	4.38E-5
0.2	5.0E-5
0.3	4.6800000000000006E-5
0.4	1.0E-4
0.5	1.83E-4
0.6	1.872E-4
0.7	3.3319999999999997E-4
0.8	2.0E-4
0.9	3.0779999999999995E-4
1.0	0.011902




Load Factor	Time
0.1	2.82E-5
0.2	4.36E-5
0.3	1.4040000000000002E-4
0.4	1.44E-4
0.5	2.41E-4
0.6	2.628E-4
0.7	3.948E-4
0.8	2.672E-4
0.9	0.0015371999999999999
1.0	0.022




Load Factor	Collisions
0.1	0.005014
0.2	0.024078
0.3	0.063384
0.4	0.133182
0.5	0.25042
0.6	0.452918
0.7	0.81072
0.8	1.585868
0.9	4.072054
1.0	406.835186




Load Factor	Probes
0.1	1.005014
0.2	1.024078
0.3	1.063384
0.4	1.133182
0.5	1.25042
0.6	1.452918
0.7	1.81072
0.8	2.585868
0.9	5.072054
1.0	407.835186




Load Factor	Probes
0.1	1.03781
0.2	1.178464
0.3	1.45686
0.4	1.943994
0.5	2.787398
0.6	4.327078
0.7	7.484876
0.8	15.829818
0.9	59.118218
1.0	750.249284
