Load Factor	Time
0.1	2.24E-5
0.2	3.6E-5
0.3	7.14E-5
0.4	9.92E-5
0.5	9.7E-5
0.6	1.896E-4
0.7	1.33E-4
0.8	1.744E-4
0.9	1.9439999999999998E-4
1.0	0.0018019999999999998






Load Factor	Time
0.1	2.76E-5
0.2	5.68E-5
0.3	4.6200000000000005E-5
0.4	5.2E-5
0.5	6.6E-5
0.6	8.04E-5
0.7	1.0779999999999999E-4
0.8	1.28E-4
0.9	1.2599999999999997E-4
1.0	1.4199999999999998E-4






Load Factor	Time
0.1	1.52E-5
0.2	3.28E-5
0.3	3.3E-5
0.4	4.64E-5
0.5	6.4E-5
0.6	7.08E-5
0.7	1.0779999999999999E-4
0.8	1.152E-4
0.9	1.3319999999999999E-4
1.0	1.5399999999999998E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	0.498706
0.2	0.499504
0.3	0.500482
0.4	0.500316
0.5	0.50106
0.6	0.49852
0.7	0.499306
0.8	0.499656
0.9	0.49902
1.0	0.49924






Load Factor	Probes
0.1	0.949676
0.2	0.899748
0.3	0.850666
0.4	0.799532
0.5	0.749286
0.6	0.70018
0.7	0.649654
0.8	0.60021
0.9	0.550322
1.0	0.50113
