Load Factor	Time
0.1	6.64E-5
0.2	8.04E-5
0.3	2.4960000000000005E-4
0.4	1.104E-4
0.5	1.93E-4
0.6	1.428E-4
0.7	1.6659999999999998E-4
0.8	2.768E-4
0.9	2.7719999999999996E-4
1.0	0.0028679999999999995






Load Factor	Time
0.1	3.76E-5
0.2	1.188E-4
0.3	7.080000000000001E-5
0.4	1.656E-4
0.5	8.9E-5
0.6	1.092E-4
0.7	1.246E-4
0.8	1.44E-4
0.9	1.7999999999999998E-4
1.0	1.7999999999999998E-4






Load Factor	Time
0.1	2.54E-5
0.2	4.0E-5
0.3	7.26E-5
0.4	6.48E-5
0.5	8.3E-5
0.6	1.08E-4
0.7	1.456E-4
0.8	1.472E-4
0.9	1.9439999999999998E-4
1.0	1.9599999999999997E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0
