Load Factor,Put Time
0.1,9.24E-5
0.2,1.648E-4
0.3,1.6260000000000002E-4
0.4,1.032E-4
0.5,2.86E-4
0.6,1.524E-4
0.7,1.9319999999999998E-4
0.8,2.768E-4
0.9,4.2299999999999993E-4
1.0,2.8999999999999995E-4






Load Factor,Get Successful Time
0.1,3.42E-5
0.2,9.72E-5
0.3,6.960000000000001E-5
0.4,7.92E-5
0.5,1.26E-4
0.6,1.2119999999999999E-4
0.7,1.47E-4
0.8,2.032E-4
0.9,2.3579999999999999E-4
1.0,6.639999999999999E-4






Load Factor,Get Unsuccessful Time
0.1,3.0E-5
0.2,9.64E-5
0.3,5.7E-5
0.4,2.528E-4
0.5,9.1E-5
0.6,1.356E-4
0.7,1.848E-4
0.8,2.24E-4
0.9,2.6819999999999996E-4
1.0,2.08E-4






Load Factor,Average List Size
0.1,1.0477809048216782
0.2,1.1009408640624279
0.3,1.154550429608215
0.4,1.2107798148475508
0.5,1.2684045500208019
0.6,1.3267174357205402
0.7,1.388460780148343
0.8,1.4502043337906312
0.9,1.5142613130462699
1.0,1.5783077384428417
