Load Factor	Time
0.1	7.8E-5
0.2	1.312E-4
0.3	1.218E-4
0.4	1.504E-4
0.5	2.34E-4
0.6	1.692E-4
0.7	1.974E-4
0.8	2.752E-4
0.9	3.6539999999999994E-4
1.0	0.0032699999999999995






Load Factor	Time
0.1	4.06E-5
0.2	6.88E-5
0.3	8.460000000000001E-5
0.4	2.248E-4
0.5	1.03E-4
0.6	1.1159999999999999E-4
0.7	1.75E-4
0.8	1.744E-4
0.9	1.692E-4
1.0	2.1799999999999999E-4






Load Factor	Time
0.1	2.82E-5
0.2	5.64E-5
0.3	2.0580000000000002E-4
0.4	1.0E-4
0.5	1.09E-4
0.6	1.1279999999999999E-4
0.7	2.6179999999999997E-4
0.8	1.744E-4
0.9	3.3659999999999994E-4
1.0	1.88E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0
