Load Factor	Time
0.1	6.56E-5
0.2	6.24E-5
0.3	6.282000000000001E-4
0.4	2.872E-4
0.5	1.41E-4
0.6	2.2439999999999998E-4
0.7	1.54E-4
0.8	2.0E-4
0.9	3.096E-4
1.0	0.002156






Load Factor	Time
0.1	5.3E-5
0.2	9.36E-5
0.3	3.78E-4
0.4	7.52E-5
0.5	7.8E-5
0.6	1.3079999999999998E-4
0.7	1.092E-4
0.8	1.248E-4
0.9	1.692E-4
1.0	1.88E-4






Load Factor	Time
0.1	4.38E-5
0.2	3.76E-5
0.3	5.7600000000000004E-5
0.4	6.24E-5
0.5	7.8E-5
0.6	9.48E-5
0.7	1.526E-4
0.8	1.504E-4
0.9	1.4039999999999997E-4
1.0	1.88E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0
