Load Factor	Time
0.1	6.94E-5
0.2	8.84E-5
0.3	1.4460000000000002E-4
0.4	9.28E-5
0.5	1.25E-4
0.6	1.5E-4
0.7	1.75E-4
0.8	3.008E-4
0.9	3.6539999999999994E-4
1.0	0.0032799999999999995






Load Factor	Time
0.1	3.4E-5
0.2	1.328E-4
0.3	6.06E-5
0.4	8.0E-5
0.5	2.03E-4
0.6	1.1279999999999999E-4
0.7	1.316E-4
0.8	2.0E-4
0.9	1.9619999999999997E-4
1.0	2.4999999999999995E-4






Load Factor	Time
0.1	2.62E-5
0.2	4.4E-5
0.3	4.9800000000000004E-5
0.4	1.8E-4
0.5	9.4E-5
0.6	1.1279999999999999E-4
0.7	1.54E-4
0.8	1.744E-4
0.9	1.98E-4
1.0	2.8199999999999997E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0
