Load Factor	Time
0.1	4.08E-5
0.2	5.84E-5
0.3	1.0320000000000001E-4
0.4	1.0E-4
0.5	2.19E-4
0.6	1.3079999999999998E-4
0.7	1.526E-4
0.8	2.0E-4
0.9	2.5199999999999995E-4
1.0	0.0025919999999999997






Load Factor	Time
0.1	5.54E-5
0.2	5.0E-5
0.3	1.5900000000000002E-4
0.4	6.24E-5
0.5	9.3E-5
0.6	9.36E-5
0.7	1.092E-4
0.8	1.248E-4
0.9	1.98E-4
1.0	4.6999999999999993E-4






Load Factor	Time
0.1	2.16E-5
0.2	8.12E-5
0.3	4.6800000000000006E-5
0.4	6.24E-5
0.5	9.4E-5
0.6	1.1279999999999999E-4
0.7	2.408E-4
0.8	1.504E-4
0.9	1.692E-4
1.0	1.5599999999999997E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0
