Load Factor	Time
0.1	6.86E-5
0.2	6.72E-5
0.3	7.800000000000001E-5
0.4	1.0E-4
0.5	1.09E-4
0.6	1.416E-4
0.7	1.8199999999999998E-4
0.8	2.032E-4
0.9	2.5199999999999995E-4
1.0	0.0030219999999999995






Load Factor	Time
0.1	3.76E-5
0.2	4.28E-5
0.3	5.64E-5
0.4	1.624E-4
0.5	1.1E-4
0.6	2.148E-4
0.7	2.758E-4
0.8	1.392E-4
0.9	1.5659999999999998E-4
1.0	1.4599999999999997E-4






Load Factor	Time
0.1	2.5E-5
0.2	7.64E-5
0.3	1.386E-4
0.4	4.96E-5
0.5	8.6E-5
0.6	8.999999999999999E-5
0.7	1.358E-4
0.8	1.376E-4
0.9	1.548E-4
1.0	1.8599999999999997E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0
