Load Factor	Time
0.1	2.04E-5
0.2	6.36E-5
0.3	6.6E-5
0.4	1.12E-4
0.5	9.3E-5
0.6	1.1399999999999999E-4
0.7	1.2319999999999999E-4
0.8	1.424E-4
0.9	2.1779999999999998E-4
1.0	0.0017579999999999998






Load Factor	Time
0.1	2.46E-5
0.2	3.84E-5
0.3	4.3200000000000007E-5
0.4	5.84E-5
0.5	1.3E-4
0.6	7.439999999999999E-5
0.7	7.98E-5
0.8	9.12E-5
0.9	1.0799999999999998E-4
1.0	1.2599999999999997E-4






Load Factor	Time
0.1	1.48E-5
0.2	2.92E-5
0.3	3.1200000000000006E-5
0.4	4.48E-5
0.5	5.1E-5
0.6	7.8E-5
0.7	8.68E-5
0.8	9.44E-5
0.9	1.2059999999999999E-4
1.0	1.3599999999999997E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0






Load Factor	Probes
0.1	2.0
0.2	2.0
0.3	2.0
0.4	2.0
0.5	2.0
0.6	2.0
0.7	2.0
0.8	2.0
0.9	2.0
1.0	2.0
