Load Factor	Time
0.1	5.62E-5
0.2	1.436E-4
0.3	2.2440000000000003E-4
0.4	2.248E-4
0.5	1.71E-4
0.6	1.5E-4
0.7	2.184E-4
0.8	2.0E-4
0.9	3.096E-4
1.0	0.0032499999999999994






Load Factor	Time
0.1	5.94E-5
0.2	1.0E-4
0.3	9.420000000000001E-5
0.4	1.128E-4
0.5	1.25E-4
0.6	1.3079999999999998E-4
0.7	1.526E-4
0.8	1.744E-4
0.9	1.692E-4
1.0	2.1799999999999999E-4






Load Factor	Time
0.1	3.12E-5
0.2	6.88E-5
0.3	7.500000000000001E-5
0.4	1.248E-4
0.5	9.4E-5
0.6	1.1279999999999999E-4
0.7	1.316E-4
0.8	1.504E-4
0.9	1.692E-4
1.0	2.1999999999999998E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0
