Load Factor,Time
0.1,2.18E-5
0.2,3.12E-5
0.3,4.6800000000000006E-5
0.4,8.72E-5
0.5,9.4E-5
0.6,1.5E-4
0.7,1.974E-4
0.8,3.248E-4
0.9,2.5199999999999995E-4
1.0,4.6999999999999993E-4


Load Factor,Time
0.1,2.5E-5
0.2,3.12E-5
0.3,3.7800000000000004E-5
0.4,4.96E-5
0.5,7.8E-5
0.6,9.36E-5
0.7,1.75E-4
0.8,2.0E-4
0.9,2.538E-4
1.0,2.8E-4


Load Factor,Time
0.1,1.88E-5
0.2,2.48E-5
0.3,8.460000000000001E-5
0.4,1.256E-4
0.5,1.72E-4
0.6,3.384E-4
0.7,3.7099999999999996E-4
0.8,3.76E-4
0.9,7.307999999999999E-4
1.0,5.319999999999999E-4


Load Factor,Collisions
0.1,0.004532
0.2,0.019162
0.3,0.044198
0.4,0.07868
0.5,0.125968
0.6,0.179512
0.7,0.241554
0.8,0.314182
0.9,0.39682
1.0,0.479554


Load Factor,Probes
0.1,1.004532
0.2,1.019162
0.3,1.044198
0.4,1.07868
0.5,1.125968
0.6,1.179512
0.7,1.241554
0.8,1.314182
0.9,1.39682
1.0,1.479554


Load Factor,Probes
0.1,1.023528
0.2,1.095836
0.3,1.205832
0.4,1.3439
0.5,1.520104
0.6,1.709948
0.7,1.89943
0.8,2.110634
0.9,2.329
1.0,2.50864
