Load Factor	Time
0.1	2.14E-5
0.2	6.0E-5
0.3	5.940000000000001E-5
0.4	6.24E-5
0.5	7.5E-5
0.6	9.839999999999999E-5
0.7	1.1899999999999999E-4
0.8	1.76E-4
0.9	1.9439999999999998E-4
1.0	0.0017






Load Factor	Time
0.1	2.66E-5
0.2	4.8E-5
0.3	6.780000000000001E-5
0.4	5.28E-5
0.5	6.5E-5
0.6	7.56E-5
0.7	8.68E-5
0.8	1.008E-4
0.9	3.1859999999999994E-4
1.0	1.4199999999999998E-4






Load Factor	Time
0.1	1.54E-5
0.2	3.04E-5
0.3	3.24E-5
0.4	4.88E-5
0.5	5.6E-5
0.6	7.8E-5
0.7	9.24E-5
0.8	1.072E-4
0.9	1.224E-4
1.0	1.5E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	2.0
0.2	2.0
0.3	2.0
0.4	2.0
0.5	2.0
0.6	2.0
0.7	2.0
0.8	2.0
0.9	2.0
1.0	2.0






Load Factor	Probes
0.1	1.100636
0.2	1.200508
0.3	1.299032
0.4	1.40122
0.5	1.50172
0.6	1.599364
0.7	1.699378
0.8	1.800394
0.9	1.899524
1.0	1.998668
