Load Factor	Time
0.1	2.22E-5
0.2	3.24E-5
0.3	4.5E-5
0.4	5.92E-5
0.5	7.7E-5
0.6	1.068E-4
0.7	1.2319999999999999E-4
0.8	1.504E-4
0.9	3.006E-4
1.0	0.0017339999999999999






Load Factor	Time
0.1	2.5E-5
0.2	6.68E-5
0.3	3.24E-5
0.4	4.32E-5
0.5	5.3E-5
0.6	6.36E-5
0.7	8.12E-5
0.8	8.48E-5
0.9	9.719999999999999E-5
1.0	1.2199999999999998E-4






Load Factor	Time
0.1	1.52E-5
0.2	4.28E-5
0.3	3.0000000000000004E-5
0.4	4.16E-5
0.5	5.1E-5
0.6	7.08E-5
0.7	8.26E-5
0.8	9.76E-5
0.9	1.0259999999999999E-4
1.0	1.3E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	500000.0000002
0.2	500000.0000002
0.3	500000.0000002
0.4	500000.0000002
0.5	500000.0000002
0.6	500000.0000002
0.7	500000.0000002
0.8	500000.0000002
0.9	500000.0000002
1.0	500000.0000002






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0
