Load Factor	Time
0.1	2.12E-05
0.2	5.36E-05
0.3	6.96E-05
0.4	6.48E-05
0.5	1.07E-04
0.6	9.84E-05
0.7	1.18E-04
0.8	1.89E-04
0.9	2.16E-04
1	0.001942
	
	
	
	
Load Factor	Time
0.1	2.62E-05
0.2	3.36E-05
0.3	3.90E-05
0.4	5.04E-05
0.5	6.20E-05
0.6	8.04E-05
0.7	7.70E-05
0.8	2.34E-04
0.9	1.17E-04
1	1.26E-04
	
	
	
	
Load Factor	Time
0.1	1.62E-05
0.2	2.60E-05
0.3	3.18E-05
0.4	8.56E-05
0.5	6.10E-05
0.6	7.44E-05
0.7	7.98E-05
0.8	1.14E-04
0.9	1.22E-04
1	1.32E-04
	
	
	
	
Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1	238.247502
	
	
	
	
Load Factor	Probes
0.1	1
0.2	1
0.3	1
0.4	1
0.5	1
0.6	1
0.7	1
0.8	1
0.9	1
1	1
	
	
	
	
Load Factor	Probes
0.1	1
0.2	1
0.3	1
0.4	1
0.5	1
0.6	1
0.7	1
0.8	1
0.9	1
1	1
