Load Factor	Time
0.1	2.22E-5
0.2	3.68E-5
0.3	4.3200000000000007E-5
0.4	8.96E-5
0.5	9.1E-5
0.6	1.1279999999999999E-4
0.7	1.26E-4
0.8	1.408E-4
0.9	2.2319999999999998E-4
1.0	0.0017039999999999998






Load Factor	Time
0.1	2.66E-5
0.2	5.2E-5
0.3	5.7600000000000004E-5
0.4	9.84E-5
0.5	6.1E-5
0.6	7.439999999999999E-5
0.7	7.98E-5
0.8	8.96E-5
0.9	1.0799999999999998E-4
1.0	1.1999999999999999E-4






Load Factor	Time
0.1	1.62E-5
0.2	2.96E-5
0.3	2.9400000000000003E-5
0.4	4.32E-5
0.5	6.1E-5
0.6	7.439999999999999E-5
0.7	8.82E-5
0.8	8.96E-5
0.9	1.224E-4
1.0	2.8999999999999995E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0
