Load Factor	Time
0.1	5.94E-5
0.2	9.36E-5
0.3	8.460000000000001E-5
0.4	1.504E-4
0.5	1.12E-4
0.6	1.872E-4
0.7	1.848E-4
0.8	1.872E-4
0.9	2.2499999999999997E-4
1.0	0.0048059999999999995






Load Factor	Time
0.1	5.62E-5
0.2	4.48E-5
0.3	4.6800000000000006E-5
0.4	8.72E-5
0.5	1.41E-4
0.6	1.5E-4
0.7	3.1499999999999996E-4
0.8	1.952E-4
0.9	3.096E-4
1.0	0.009935999999999999






Load Factor	Time
0.1	3.44E-5
0.2	8.12E-5
0.3	1.4040000000000002E-4
0.4	8.8E-5
0.5	2.27E-4
0.6	2.628E-4
0.7	3.094E-4
0.8	5.136E-4
0.9	0.0011897999999999998
1.0	0.0040019999999999995






Load Factor	Collisions
0.1	0.005014
0.2	0.024078
0.3	0.063384
0.4	0.133182
0.5	0.25042
0.6	0.452918
0.7	0.81072
0.8	1.585868
0.9	4.072054
1.0	406.835186






Load Factor	Probes
0.1	1.005014
0.2	1.024078
0.3	1.063384
0.4	1.133182
0.5	1.25042
0.6	1.452918
0.7	1.81072
0.8	2.585868
0.9	5.072054
1.0	407.835186






Load Factor	Probes
0.1	1.03781
0.2	1.178464
0.3	1.45686
0.4	1.943994
0.5	2.787398
0.6	4.327078
0.7	7.484876
0.8	15.829818
0.9	59.118218
1.0	167.564046
