Load Factor	Time
0.1	8.18E-5
0.2	8.12E-5
0.3	6.780000000000001E-5
0.4	7.44E-5
0.5	1.09E-4
0.6	1.872E-4
0.7	2.674E-4
0.8	2.256E-4
0.9	3.3659999999999994E-4
1.0	0.005221999999999999






Load Factor	Time
0.1	3.42E-5
0.2	1.372E-4
0.3	4.740000000000001E-5
0.4	7.52E-5
0.5	1.31E-4
0.6	1.3079999999999998E-4
0.7	1.8199999999999998E-4
0.8	3.008E-4
0.9	3.096E-4
1.0	0.011283999999999999






Load Factor	Time
0.1	3.08E-5
0.2	5.0E-5
0.3	1.6260000000000002E-4
0.4	1.624E-4
0.5	2.08E-4
0.6	2.4359999999999999E-4
0.7	4.3539999999999996E-4
0.8	3.488E-4
0.9	7.037999999999999E-4
1.0	0.022028






Load Factor	Collisions
0.1	0.005014
0.2	0.024078
0.3	0.063384
0.4	0.133182
0.5	0.25042
0.6	0.452918
0.7	0.81072
0.8	1.585868
0.9	4.072054
1.0	406.835186






Load Factor	Probes
0.1	1.005014
0.2	1.024078
0.3	1.063384
0.4	1.133182
0.5	1.25042
0.6	1.452918
0.7	1.81072
0.8	2.585868
0.9	5.072054
1.0	407.835186






Load Factor	Probes
0.1	1.03781
0.2	1.178464
0.3	1.45686
0.4	1.943994
0.5	2.787398
0.6	4.327078
0.7	7.484876
0.8	15.829818
0.9	59.118218
1.0	774.332516
