Load Factor	Time
0.1	5.94E-5
0.2	4.36E-5
0.3	8.400000000000001E-5
0.4	9.52E-5
0.5	1.05E-4
0.6	2.4359999999999999E-4
0.7	1.638E-4
0.8	4.64E-4
0.9	2.5199999999999995E-4
1.0	0.0020819999999999996






Load Factor	Time
0.1	3.44E-5
0.2	3.76E-5
0.3	5.64E-5
0.4	6.88E-5
0.5	8.1E-5
0.6	1.1159999999999999E-4
0.7	1.1059999999999999E-4
0.8	1.744E-4
0.9	1.4039999999999997E-4
1.0	1.5599999999999997E-4






Load Factor	Time
0.1	2.18E-5
0.2	8.12E-5
0.3	5.64E-5
0.4	6.24E-5
0.5	8.5E-5
0.6	9.48E-5
0.7	1.302E-4
0.8	1.248E-4
0.9	1.692E-4
1.0	2.4999999999999995E-4






Load Factor	Collisions
0.1	0.004922
0.2	0.024118
0.3	0.061382
0.4	0.133256
0.5	0.243826
0.6	0.451882
0.7	0.810858
0.8	1.60374
0.9	4.067174
1.0	238.247502






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0






Load Factor	Probes
0.1	1.0
0.2	1.0
0.3	1.0
0.4	1.0
0.5	1.0
0.6	1.0
0.7	1.0
0.8	1.0
0.9	1.0
1.0	1.0
