Load Factor	Time
0.1	2.5E-5
0.2	5.64E-5
0.3	5.580000000000001E-5
0.4	7.52E-5
0.5	9.3E-5
0.6	1.3079999999999998E-4
0.7	1.75E-4
0.8	3.248E-4
0.9	2.538E-4
1.0	3.4399999999999996E-4


Load Factor	Time
0.1	3.12E-5
0.2	4.36E-5
0.3	6.6E-5
0.4	1.0E-4
0.5	7.9E-5
0.6	1.3079999999999998E-4
0.7	1.75E-4
0.8	1.76E-4
0.9	2.5199999999999995E-4
1.0	5.619999999999999E-4


Load Factor	Time
0.1	1.56E-5
0.2	4.36E-5
0.3	5.580000000000001E-5
0.4	1.376E-4
0.5	1.71E-4
0.6	2.4359999999999999E-4
0.7	5.04E-4
0.8	3.744E-4
0.9	6.192E-4
1.0	5.3E-4


Load Factor	Collisions
0.1	0.004532
0.2	0.019162
0.3	0.044198
0.4	0.07868
0.5	0.125968
0.6	0.179512
0.7	0.241554
0.8	0.314182
0.9	0.39682
1.0	0.479554


Load Factor	Probes
0.1	1.004532
0.2	1.019162
0.3	1.044198
0.4	1.07868
0.5	1.125968
0.6	1.179512
0.7	1.241554
0.8	1.314182
0.9	1.39682
1.0	1.479554


Load Factor	Probes
0.1	1.023528
0.2	1.095836
0.3	1.205832
0.4	1.3439
0.5	1.520104
0.6	1.709948
0.7	1.89943
0.8	2.110634
0.9	2.329
1.0	2.50864
